ori,ori9,crosswalk_agency_name,census_name,population,fips_state_county_code,state
NY03030,NY0303000,New York City Police Department,New York City,8184044,36061,NY
CA01942,CA0194200,Los Angeles Police Department,Los Angeles City,3786018,06037,CA
PRPPR00,PRPPR0000,Puerto Rico,,3205691,72127,NA
ILCPD00,ILCPD0000,Chicago Police Dept,Chicago City,2628298,17031,IL
TXHPD00,TXHPD0000,Houston Police Department,Houston City,2304406,48201,TX
TX10100,TX1010000,Harris County Sheriff's Office,Harris County,2057899,48201,TX
NV00201,NV0020100,Las Vegas Metro Police Department,Las Vegas City,1670226,32003,NV
AZ00723,AZ0072300,Phoenix Police Department,Phoenix City,1660686,04013,AZ
PAPEP00,PAPEP0000,Philadelphia Police Department,Philadelphia City,1550843,42101,PA
TXSPD00,TXSPD0000,San Antonio Police Department,San Antonio City,1490047,48029,TX
CA03711,CA0371100,San Diego Police Department,San Diego City,1378349,06073,CA
NY05101,NY0510100,Suffolk County Police Department,Suffolk County,1350304,36103,NY
TXDPD00,TXDPD0000,Dallas Police Department,Dallas City,1304988,48113,TX
FL01300,FL0130000,Miami-Dade (County) Police Department,Miami-Dade County,1160149,12086,FL
VA02901,VA0290100,Fairfax County Police Department,Fairfax County,1094031,51059,VA
NY02900,NY0290000,Nassau County Police Department,Nassau County,1077192,36059,NY
FL02900,FL0290000,Hillsborough County Sheriff's Office,Hillsborough County,1067445,12057,FL
CA01900,CA0190000,Los Angeles County Sheriff's Office,Los Angeles County,1008018,06037,CA
HI00200,HI0020000,Honolulu (City And County) Police Department,Honolulu City And County,987546,15003,HI
FL01600,FL0160000,Duval Cnty Sheriffs Dept,State Of Florida,983663,12031,FL
NC06001,NC0600100,Charlotte - Mecklenburg Police Department,_Undetermined,979304,37119,NC
TX22701,TX2270100,Austin Police Department,Austin City,978816,48453,TX
TX22012,TX2201200,Fort Worth Police Department,Fort Worth City,973722,48439,TX
CA04313,CA0431300,San Jose Police Department,San Jose City,952530,06085,CA
FL04800,FL0480000,Orange County Sheriff's Office,Orange County,923154,12095,FL
OHCOP00,OHCOP0000,Columbus Police Department,Columbus City,908834,39049,OH
MD01604,MD0160400,Montgomery County Police Department,Montgomery County,896963,24031,MD
INIPD00,IN0494900,Indianapolis Police,Indianapolis City,887131,18097,IN
MD00301,MD0030100,Baltimore County Police Department,Baltimore County,845222,24005,MD
GA06702,GA0670200,Gwinnett County Police Department,Gwinnett County,834930,13135,GA
CA03801,CA0380100,San Francisco Police Department,San Francisco City And County,782846,06075,CA
WASPD00,WASPD0000,Seattle Police Department,Seattle City,753786,53033,WA
MD01721,MD0172100,Prince George's County Police Department,Prince Georges County,725229,24033,MD
CODPD00,CODPD0000,Denver Police Department,Denver City And County,712222,08031,CO
OK05506,OK0550600,Oklahoma City Police Department,Oklahoma City City,700684,40109,OK
TN01901,TN0190100,Nashville Metro Police Department,Nashville-Davidson County Metropolitan Government,690495,47037,TN
FL05000,FL0500000,Palm Beach County Sheriff's Office,Palm Beach County,682957,12099,FL
DCMPD00,DCMPD0000,Washington Metropolitan Police Department,Washington Dc City,678972,11001,DC
TX07102,TX0710200,El Paso Police Department,El Paso City,676665,48141,TX
KY05680,KY0568000,Louisville Metro Police Department,Louisville-Jefferson County Metro Government,669468,21111,KY
MA01301,MA0130100,Boston Police Department,Boston City,642823,25025,MA
OR02602,OR0260200,Portland Police Bureau,Portland City,626146,41051,OR
TNMPD00,TNMPD0000,Memphis Police Department,Memphis City,616061,47157,TN
MI82349,MI8234900,Detroit Police Department,Detroit City,615501,26163,MI
CA03400,CA0340000,Sacramento County Sheriff's Office,Sacramento County,604738,06067,CA
FL05100,FL0510000,Pasco County Sheriff's Office,Pasco County,582562,12101,FL
TX07900,TX0790000,Fort Bend County Sheriff's Office,Fort Bend County,578695,48157,TX
GA03302,GA0330200,Cobb County Police Department,Cobb County,575257,13067,GA
TX17000,TX1700000,Montgomery County Sheriff's Office,Montgomery County,565355,48339,TX
MDBPD00,MDBPD0000,Baltimore Police Department,Baltimore City,565192,24510,MD
NM00101,NM0010100,Albuquerque Police Department,Albuquerque City,559094,35001,NM
WIMPD00,WIMPD0000,Milwaukee Police Department,Milwaukee City,558698,55079,WI
MD00202,MD0020200,Anne Arundel County Police Department,Anne Arundel County,556728,24003,MD
AZ01003,AZ0100300,Tucson Police Department,Tucson City,548544,04019,AZ
CA01005,CA0100500,Fresno Police Department,Fresno City,547134,06019,CA
CA03404,CA0340400,Sacramento Police Department,Sacramento City,529172,06067,CA
GA04402,GA0440200,Dekalb County Police Department,Dekalb County,520332,13089,GA
CA03700,CA0370000,San Diego County Sheriff's Office,San Diego County,519218,06073,CA
FL05300,FL0530000,Polk County Sheriff's Office,Polk County,518855,12105,FL
FL03600,FL0360000,Lee County Sheriff's Office,Lee County,517538,12071,FL
AZ00717,AZ0071700,Mesa Police Department,Mesa City,515848,04013,AZ
MOKPD00,MOKPD0000,Kansas City Police Department,Kansas City City,509758,29095,MO
GAAPD00,GAAPD0000,Atlanta Police Department,Atlanta City,500212,13121,GA
CO02101,CO0210100,Colorado Springs Police Department,Colorado Springs City,489254,08041,CO
NC09201,NC0920100,Raleigh Police Department,Raleigh City,482842,37183,NC
NB02802,NB0280200,Omaha Police Dept,Omaha City,481471,31055,NE
VA07503,VA0750300,Prince William County Police Department,Prince William County,480467,51153,VA
NY05106,NY0510600,Brookhaven Pd,Brookhaven Town,467884,36103,NY
CTCSP00,CTCSP0000,Connecticut State Police,State Of Connecticut,464092,09009,CT
VA12800,VA1280000,Virginia Beach Police Department,Virginia Beach City,453991,51810,VA
FL01306,FL0130600,Miami Police Department,Miami City,452929,12086,FL
CA01941,CA0194100,Long Beach Police Department,Long Beach City,444415,06037,CA
TX01500,TX0150000,Bexar County Sheriff's Office,Bexar County,438152,48029,TX
WA02700,WA0270000,Pierce County Sheriff's Office,Pierce County,437972,53053,WA
DE00203,DE0020300,New Castle County Police Department,New Castle County,432717,10003,DE
CA00109,CA0010900,Oakland Police Department,Oakland City,425484,06001,CA
MN02711,MN0271100,Minneapolis Police Department,Minneapolis City,422341,27053,MN
CA03300,CA0330000,Riverside County Sheriff's Office,Riverside County,418384,06065,CA
CA01502,CA0150200,Bakersfield Police Department,Bakersfield City,413409,06029,CA
OK07205,OK0720500,Tulsa Police Department,Tulsa City,410965,40143,OK
FL02902,FL0290200,Tampa Police Department,Tampa City,403407,12057,FL
MO09500,MO0950000,St. Louis County Police Dept,St Louis County,398969,29189,MO
CO00101,CO0010100,Aurora Police Department,Aurora City,396976,08005,CO
KS08703,KS0870300,Wichita Police Department,Wichita City,395290,20173,KS
TX22001,TX2200100,Arlington Police Department,Arlington City,394799,48439,TX
VA02101,VA0210100,Chesterfield County Police Department,Chesterfield County,385204,51041,VA
SC02300,SC0230000,Greenville County Sheriff's Office,Greenville County,379428,45045,SC
VA05300,VA0530000,Loudoun County Sheriff's Office,Loudoun County,378299,51107,VA
FL01100,FL0110000,Collier County Sheriff's Office,Collier County,372942,12021,FL
FL04100,FL0410000,Manatee County Sheriff's Office,Manatee County,365996,12081,FL
AZ01000,AZ0100000,Pima County Sheriff's Dept.,Pima County,365222,04019,AZ
WA03100,WA0310000,Snohomish County Sheriff's Office,Snohomish County,365166,53061,WA
LANPD00,LANPD0000,New Orleans Police Department,New Orleans City,364197,22071,LA
AZ00700,AZ0070000,Maricopa County Sheriff's Office,Maricopa County,363480,04013,AZ
OHCLP00,OHCLP0000,Cleveland Police Department,Cleveland City,358146,39035,OH
CA03001,CA0300100,Anaheim Police Department,Anaheim City,343147,06059,CA
CA01500,CA0150000,Kern County Sheriff's Office,Kern County,339575,06029,CA
NV00203,NV0020300,Henderson Police Department,Henderson City,337794,32003,NV
MD01401,MD0140100,Howard County Police Department,Howard County,337780,24027,MD
VA04301,VA0430100,Henrico County Division Of Police,Henrico County,334046,51087,VA
NY05108,NY0510800,Islip Pd,Islip Town,333919,36103,NY
FL04200,FL0420000,Marion County Sheriff's Office,Marion County,332576,12083,FL
CA03313,CA0331300,Riverside Police Department,Riverside City,323473,06065,CA
CA03905,CA0390500,Stockton Police Department,Stockton City,322220,06077,CA
LA02600,LA0260000,Jefferson Parish Sheriff's Office,Jefferson Parish,321980,22051,LA
FL04804,FL0480400,Orlando Police Department,Orlando City,320346,12095,FL
KY03402,KY0340200,Lexington Division Of Police,Lexington-Fayette Urban County Government,319994,21067,KY
CA03026,CA0302600,Irvine Police Department,Irvine City,316132,06059,CA
TX17802,TX1780200,Corpus Christi Police Department,Corpus Christi City,315340,48355,TX
OHCIP00,OHCIP0000,Cincinnati Police Department,Cincinnati City,309484,39061,OH
CA03600,CA0360000,San Bernardino County Sheriff's Office,San Bernardino County,308201,06071,CA
CA03019,CA0301900,Santa Ana Police Department,Santa Ana City,307327,06059,CA
PAPPD00,PAPPD0000,Pittsburgh Police Department,Pittsburgh City,304825,42003,PA
